13,CPLEX Default,lunghezza crescente,score somma crescente,score medio crescente,lunghezza crescente duplicati in cima,score somma crescente duplicati in cima,score medio crescente duplicati in cima,lunghezza decrescente,score somma decrescente,score medio decrescente,lunghezza decrescente duplicati in cima,score somma decrescente duplicati in cima,score medio decrescente duplicati in cima
../Dataset/ReducedLP/scpc3_reduced.lp,1.32051,0.388408,0.37458,0.37422300000000003,0.38425,0.388585,0.394937,0.37952600000000003,0.377246,0.378608,0.377096,0.38514899999999996,0.377719
../Dataset/ReducedLP/scpc3_reduced.lp,0.504285,0.532646,0.533012,0.529438,0.529107,0.520419,0.513411,0.517105,0.518775,0.517788,0.524795,0.524888,0.515703
../Dataset/ReducedLP/scpc3_reduced.lp,0.385093,0.38401,0.38051999999999997,0.38190599999999997,0.382063,0.388384,0.38519000000000003,0.397787,0.38236,0.38409099999999996,0.722309,0.384363,0.385907
../Dataset/ReducedLP/scpc3_reduced.lp,0.4005780000000001,0.431968,0.445917,0.419666,0.41206499999999996,0.416022,0.403175,0.397233,0.42601000000000006,0.432184,0.40918699999999997,0.41913599999999995,0.407556
../Dataset/ReducedLP/scpc3_reduced.lp,0.368286,0.41265,0.408517,0.38508600000000004,0.389329,0.396154,0.385898,0.386183,0.387716,0.380267,0.38684,0.397233,0.385612
../Dataset/ReducedLP/scpclr10_reduced.lp,24.50374,14.997694000000001,14.677265,26.025762,16.383505,16.324369,16.310416,23.490854000000002,25.288657999999998,16.098384,38.763098,38.689847,75.160572
../Dataset/ReducedLP/scpclr10_reduced.lp,11.146887,11.906939,11.795357000000001,14.143087,11.305491,11.314629,11.288151,16.844572,17.366467,10.948947,35.585894,35.636918,35.621187
../Dataset/ReducedLP/scpclr10_reduced.lp,11.05233,14.484186,14.591769000000001,16.438292,12.279876,12.256814,12.295632000000001,22.189996,21.022211,11.718258,18.126860999999998,18.142329,18.179813
../Dataset/ReducedLP/scpclr10_reduced.lp,16.8886,16.946106,15.817907,17.551479,15.921183,15.862764000000002,15.897618,20.974643,22.181919,18.974812,24.313407,24.296754,24.316473000000002
../Dataset/ReducedLP/scpclr10_reduced.lp,6.298415,6.651091,6.755194,6.973607,6.056568,6.050236,6.050258,6.703691,7.109661999999999,6.556682,6.808732000000001,6.801016000000001,6.8002020000000005
../Dataset/ReducedLP/scpclr10_reduced.lp,5.860030999999998,23.611269,38.91023,37.058085999999996,24.481091,24.431043,47.223364000000004,25.259426,23.868978,22.299043,33.010339,33.067827,33.031936
../Dataset/ReducedLP/scpclr10_reduced.lp,18.606231,8.692791999999999,10.334978999999999,7.882667999999999,7.904717,7.913146,7.9326419999999995,10.256115,11.251362,7.007894,8.134547,8.166607,8.148253
../Dataset/ReducedLP/scpclr10_reduced.lp,10.803463,15.199233999999999,15.882569,15.786531,14.989118,15.017323000000001,14.961379999999998,24.524624,20.152723,13.895125,43.757682,22.526393,22.551845
../Dataset/ReducedLP/scpclr10_reduced.lp,21.458966,28.915066999999997,30.041581,31.351903999999998,27.937753999999998,27.891399,27.877507,42.455352000000005,38.411294,26.928182,41.0336,41.120086,41.124851
../Dataset/ReducedLP/scpclr10_reduced.lp,12.302688,13.930007000000002,12.965255,13.984864000000002,12.993456,12.96161,12.943612,14.24329,12.188146000000001,11.727361,18.768265,18.776778,18.729195
../Dataset/ReducedLP/scpclr11_reduced.lp,1392.560093,1285.163198,1317.884317,1382.575302,1285.363925,1284.4055779999999,1283.07439,1414.850351,1397.8413189999999,1319.9491130000001,1836.0230420000003,1828.426744,1834.3261309999998
../Dataset/ReducedLP/scpclr11_reduced.lp,1329.400178,1403.359966,1462.9331539999998,1543.4812220000001,1402.912319,1403.4579199999998,1403.915983,1584.461268,1701.778547,1257.661533,2122.271889,2121.721935,2125.782327
../Dataset/ReducedLP/scpclr11_reduced.lp,1604.2516039999996,1343.003145,1507.339303,1693.775933,1346.94043,1344.785486,1343.281314,1589.8430720000001,3206.514036,1560.3624630000002,2151.7965059999997,2156.5167100000003,2162.472834
../Dataset/ReducedLP/scpclr11_reduced.lp,1567.083379,1507.134453,1603.558467,1657.212469,1508.0123640000002,1506.053559,1502.491824,1875.493411,1906.386684,1443.409254,3600.586264,2403.053707,2404.2160949999998
../Dataset/ReducedLP/scpclr11_reduced.lp,3024.690072,1617.545347,1606.148692,1640.617795,1617.523834,1616.204433,1622.470334,1751.116019,1948.4806429999999,1542.487038,2290.68254,2292.758872,2287.695584
