13,CPLEX Default,lunghezza crescente,score reduced costs somma crescente,score reduced costs medio crescente,lunghezza crescente duplicati in cima,score reduced costs somma crescente duplicati in cima,score reduced costs medio crescente duplicati in cima,lunghezza decrescente,score reduced costs somma decrescente,score reduced costs medio decrescente,lunghezza decrescente duplicati in cima,score reduced costs somma decrescente duplicati in cima,score reduced costs medio decrescente duplicati in cima
../Dataset/ReducedLP/scpnrf1_reduced.lp,36044,45512,39978,31819,35776,40132,34548,46457,40502,44353,49066,39568,43284
../Dataset/ReducedLP/scpnrf1_reduced.lp,42040,35771,37639,36672,34406,37823,36535,56008,35718,34133,52048,35514,33409
../Dataset/ReducedLP/scpnrf1_reduced.lp,44720,38073,38205,33862,38526,37291,41765,42099,44607,34895,50029,45228,35115
../Dataset/ReducedLP/scpnrf1_reduced.lp,39662,39115,49030,40655,42685,40352,40476,58177,38485,38459,65517,39905,38486
../Dataset/ReducedLP/scpnrf1_reduced.lp,43380,37601,39091,39680,37227,39381,37765,51624,50687,36345,47406,51336,36432
../Dataset/ReducedLP/scpnrf1_reduced.lp,37575,35617,40928,35701,38175,40954,35701,39220,42412,27205,37524,42412,27205
../Dataset/ReducedLP/scpnrf1_reduced.lp,41231,34673,39501,44389,33407,38543,42539,39862,43417,30449,39344,42664,29419
../Dataset/ReducedLP/scpnrf1_reduced.lp,39250,38849,42175,44644,37939,41162,43834,43908,39999,40278,47765,39264,40362
../Dataset/ReducedLP/scpnrf1_reduced.lp,47553,33187,38140,36905,40797,39121,35153,43393,39786,33903,52679,39663,33927
../Dataset/ReducedLP/scpnrf1_reduced.lp,36316,32168,36476,42767,32482,36081,40388,46840,34873,32150,48595,35178,32150
../Dataset/ReducedLP/scpnrf2_reduced.lp,23562,19960,22145,24150,19657,22145,24209,27241,24317,21686,26852,24391,22855
../Dataset/ReducedLP/scpnrf2_reduced.lp,21766,19161,22267,22275,19197,22267,22275,21024,18562,21478,21272,18668,21478
../Dataset/ReducedLP/scpnrf2_reduced.lp,19286,22087,20856,18738,21935,20856,18738,24733,17254,21644,23902,17254,21644
../Dataset/ReducedLP/scpnrf2_reduced.lp,20784,18056,17769,18706,17757,17769,18706,19373,18011,17866,19888,18011,17866
../Dataset/ReducedLP/scpnrf2_reduced.lp,21594,18067,20577,20721,18192,20577,20721,20846,22495,18503,21739,22495,18503
../Dataset/ReducedLP/scpnrf2_reduced.lp,20017,20162,20041,19370,20515,20003,20379,24058,18294,20339,22544,18294,19960
../Dataset/ReducedLP/scpnrf2_reduced.lp,21770,19459,19565,21834,19241,19565,21834,23637,22547,20773,21810,22547,20773
../Dataset/ReducedLP/scpnrf2_reduced.lp,20818,21660,19866,20547,21200,19871,20547,22136,21511,16640,20761,21511,16384
../Dataset/ReducedLP/scpnrf2_reduced.lp,19208,17996,18285,19071,16855,18285,18826,22102,17957,18445,22102,17957,18445
