11,CPLEX Default,lunghezza crescente,score reduced costs somma crescente,score reduced costs medio crescente,lunghezza crescente duplicati in cima,score reduced costs somma crescente duplicati in cima,score reduced costs medio crescente duplicati in cima,score reduced costs somma decrescente,score reduced costs medio decrescente,score reduced costs somma decrescente duplicati in cima,score reduced costs medio decrescente duplicati in cima
../Dataset/ReducedLP/scpd3_reduced.lp,921,988,753,753,1016,1016,1016,720,737,802,802
../Dataset/ReducedLP/scpd3_reduced.lp,930,897,820,820,894,894,894,843,886,812,812
../Dataset/ReducedLP/scpd3_reduced.lp,959,1276,772,772,897,897,897,825,754,915,915
../Dataset/ReducedLP/scpd4_reduced.lp,643,1183,741,741,1006,649,649,995,1015,1128,1128
../Dataset/ReducedLP/scpd4_reduced.lp,453,450,410,410,468,468,468,382,440,461,461
../Dataset/ReducedLP/scpd4_reduced.lp,528,517,1127,1127,814,814,814,1143,912,507,507
../Dataset/ReducedLP/scpd4_reduced.lp,452,509,463,463,552,552,552,468,450,486,486
../Dataset/ReducedLP/scpd4_reduced.lp,542,558,475,475,547,547,547,523,562,475,475
../Dataset/ReducedLP/scpd4_reduced.lp,565,574,607,607,545,545,545,544,548,587,587
../Dataset/ReducedLP/scpd4_reduced.lp,445,472,499,499,508,508,508,451,460,427,427
../Dataset/ReducedLP/scpd4_reduced.lp,409,419,345,345,434,434,434,330,379,475,475
../Dataset/ReducedLP/scpd4_reduced.lp,950,757,983,983,845,845,845,593,967,525,525
../Dataset/ReducedLP/scpd4_reduced.lp,454,492,534,534,472,472,472,472,416,510,510
../Dataset/ReducedLP/scpnre1_reduced.lp,40036,41531,46016,46016,45228,45228,45228,46096,36059,41823,41823
../Dataset/ReducedLP/scpnre1_reduced.lp,39621,36498,46708,46708,54640,54640,54640,47638,37844,38858,38858
../Dataset/ReducedLP/scpnre1_reduced.lp,39813,40601,48054,48054,47181,47181,47181,39785,32936,37221,37221
../Dataset/ReducedLP/scpnre1_reduced.lp,36224,37658,42680,42680,40926,40926,40926,38851,38019,36588,36588
../Dataset/ReducedLP/scpnre1_reduced.lp,40510,37944,41961,41961,43532,43532,43532,38026,34923,35895,35895
../Dataset/ReducedLP/scpnre1_reduced.lp,42625,38367,53105,53105,47228,47228,47228,36635,39415,47071,47071
../Dataset/ReducedLP/scpnre1_reduced.lp,40468,45624,49719,49719,44369,44369,44369,40298,36918,39310,39310
../Dataset/ReducedLP/scpnre1_reduced.lp,39612,43591,44584,44584,44233,44233,44233,42358,33283,37007,37007
../Dataset/ReducedLP/scpnre1_reduced.lp,44427,36801,41874,41874,43091,43091,43091,43430,39416,41838,41838
../Dataset/ReducedLP/scpnre1_reduced.lp,35150,39309,43865,43865,40717,40717,40717,39156,34828,38484,38484
../Dataset/ReducedLP/scpnre2_reduced.lp,536083,457474,773807,773807,331108,331108,331108,395489,506323,268956,268956
../Dataset/ReducedLP/scpnre2_reduced.lp,706723,641951,311917,311917,626607,626607,626607,195918,640646,551354,551265
../Dataset/ReducedLP/scpnre2_reduced.lp,463059,307573,649603,649603,242645,242645,242645,625351,561410,498086,498086
../Dataset/ReducedLP/scpnre2_reduced.lp,462038,248678,596239,596239,319280,319280,319280,236136,345555,558477,558477
../Dataset/ReducedLP/scpnre2_reduced.lp,435190,593158,554581,554581,500083,498265,498265,557130,277116,334386,334386
../Dataset/ReducedLP/scpnre2_reduced.lp,151911,449939,567886,567886,688509,688509,688509,517504,150664,543208,543208
../Dataset/ReducedLP/scpnre2_reduced.lp,317041,584711,993841,993841,167745,167745,167745,428365,177387,546131,546131
../Dataset/ReducedLP/scpnre2_reduced.lp,376478,613846,459660,459660,123971,123971,123971,521515,169213,394764,299522
../Dataset/ReducedLP/scpnre2_reduced.lp,255435,628687,468816,468816,683727,685460,685460,510901,346966,702665,702665
../Dataset/ReducedLP/scpnre2_reduced.lp,529316,510890,902713,902713,507367,507604,507604,328844,278588,593392,593392
../Dataset/ReducedLP/scpnre3_reduced.lp,41626,36690,35821,35821,23945,23945,23945,13413,37076,27073,27073
../Dataset/ReducedLP/scpnre3_reduced.lp,12856,38733,15372,15372,15845,15845,15845,41493,21133,21959,21959
../Dataset/ReducedLP/scpnre3_reduced.lp,13708,12942,68617,68617,66686,66686,66686,15304,14375,34005,34005
../Dataset/ReducedLP/scpnre3_reduced.lp,14521,54760,32032,32032,52524,52524,52524,74406,44628,70226,70226
../Dataset/ReducedLP/scpnre3_reduced.lp,17054,13514,14596,14596,16326,16326,16326,17639,54237,25263,25263
../Dataset/ReducedLP/scpnre3_reduced.lp,12862,51788,41233,41233,56276,56276,56276,29763,23840,21339,21339
../Dataset/ReducedLP/scpnre3_reduced.lp,36693,67869,21312,21312,21110,21110,21110,30802,37077,16269,16269
../Dataset/ReducedLP/scpnre3_reduced.lp,14137,49692,88562,88562,43179,43179,43179,48316,57831,38305,38305
../Dataset/ReducedLP/scpnre3_reduced.lp,56149,16933,28180,28180,84297,84297,84297,35340,20863,42328,42328
../Dataset/ReducedLP/scpnre3_reduced.lp,15113,13906,97822,97822,13348,13348,13348,24482,41661,32897,32897
../Dataset/ReducedLP/scpnre4_reduced.lp,34708,72790,99688,99688,84503,84503,84503,47041,94930,32810,32810
../Dataset/ReducedLP/scpnre4_reduced.lp,30147,55157,43945,43945,70167,70167,70167,48809,53528,43600,43600
../Dataset/ReducedLP/scpnre4_reduced.lp,93779,40123,108583,108583,91154,91154,91154,78033,76816,67120,67120
../Dataset/ReducedLP/scpnre4_reduced.lp,52175,39814,37928,37928,79374,79374,79374,32125,56575,73260,73260
../Dataset/ReducedLP/scpnre4_reduced.lp,36110,51322,66696,66696,69930,69930,69930,107065,56120,33081,33081
../Dataset/ReducedLP/scpnre4_reduced.lp,54204,74866,71385,71385,59434,59434,59434,70649,75121,31406,31406
../Dataset/ReducedLP/scpnre4_reduced.lp,114733,75361,46352,46352,74514,74514,74514,61596,58519,122417,122417
../Dataset/ReducedLP/scpnre4_reduced.lp,107653,114820,132359,132359,69377,69377,69377,57878,119297,71892,71892
../Dataset/ReducedLP/scpnre4_reduced.lp,97416,55847,68838,68838,82132,82132,82132,67225,48296,58912,58912
