4,CPLEX Default,par = 1.5,par = 2.0,par = 5.0
../Dataset/ReducedLP/scpd3_reduced.lp,0.720062,0.903819,0.909758,0.920387
../Dataset/ReducedLP/scpd3_reduced.lp,0.707292,1.148645,0.907209,0.864967
../Dataset/ReducedLP/scpd3_reduced.lp,0.7675390000000001,0.930925,0.912247,1.079274
../Dataset/ReducedLP/scpd3_reduced.lp,0.714921,1.00684,0.91026,1.032517
../Dataset/ReducedLP/scpd4_reduced.lp,1.396409,0.72046,0.7021689999999999,0.727417
../Dataset/ReducedLP/scpd4_reduced.lp,0.610991,1.997871,0.985754,0.8767520000000001
../Dataset/ReducedLP/scpd4_reduced.lp,0.666682,0.755567,0.761309,0.7656569999999999
../Dataset/ReducedLP/scpd4_reduced.lp,0.5398430000000001,0.660814,0.629792,0.6201399999999999
../Dataset/ReducedLP/scpd4_reduced.lp,0.579721,0.6566609999999999,0.646135,0.661395
../Dataset/ReducedLP/scpd4_reduced.lp,0.636706,0.969156,0.7706,1.035143
../Dataset/ReducedLP/scpd4_reduced.lp,0.765203,0.833666,0.965766,0.910549
../Dataset/ReducedLP/scpd4_reduced.lp,0.5604319999999999,0.623734,0.641283,0.642886
../Dataset/ReducedLP/scpd4_reduced.lp,0.58007,0.69902,0.7109310000000001,0.702051
../Dataset/ReducedLP/scpd4_reduced.lp,0.62655,0.7320439999999999,0.72137,0.7487689999999999
../Dataset/ReducedLP/scpnre1_reduced.lp,14.553582999999998,157.964441,159.886184,163.351218
../Dataset/ReducedLP/scpnre1_reduced.lp,13.526487,153.30098,185.145524,145.909081
../Dataset/ReducedLP/scpnre1_reduced.lp,14.278467000000001,158.77809,165.134074,163.067699
../Dataset/ReducedLP/scpnre1_reduced.lp,25.274235,167.095055,171.836321,155.605943
../Dataset/ReducedLP/scpnre1_reduced.lp,14.128079999999999,165.014551,150.493551,172.573509
../Dataset/ReducedLP/scpnre1_reduced.lp,25.313798000000002,169.419838,181.201208,170.802572
../Dataset/ReducedLP/scpnre1_reduced.lp,15.546692000000002,152.32102,165.897505,169.532925
../Dataset/ReducedLP/scpnre1_reduced.lp,12.846271,168.351709,155.085093,167.79896100000005
../Dataset/ReducedLP/scpnre1_reduced.lp,12.625503,173.45626299999995,164.000323,154.022634
../Dataset/ReducedLP/scpnre1_reduced.lp,13.556913,167.444831,160.534898,162.805433
../Dataset/ReducedLP/scpnre2_reduced.lp,137.236992,2013.791752,3040.738953,1478.322716
../Dataset/ReducedLP/scpnre2_reduced.lp,236.663566,2438.602471,1949.733975,3192.277398
