4,CPLEX Default,par = 1.5,par = 2.0,par = 5.0
../Dataset/ReducedLP/scpd4_reduced.lp,0.765203,0.8367120000000001,0.95397,0.91212
../Dataset/ReducedLP/scpd4_reduced.lp,0.5604319999999999,0.620311,0.6400399999999999,0.638799
../Dataset/ReducedLP/scpd4_reduced.lp,0.58007,0.705703,0.713227,0.705216
../Dataset/ReducedLP/scpd4_reduced.lp,0.62655,0.732831,0.723134,0.764023
../Dataset/ReducedLP/scpnre1_reduced.lp,14.553582999999998,158.30011299999995,158.766209,164.724031
../Dataset/ReducedLP/scpnre1_reduced.lp,13.526487,153.50163,182.336773,144.42528
../Dataset/ReducedLP/scpnre1_reduced.lp,14.278467,157.406106,164.440902,161.44008200000005
../Dataset/ReducedLP/scpnre1_reduced.lp,25.274235,168.97038999999995,170.988377,156.403968
../Dataset/ReducedLP/scpnre1_reduced.lp,14.12808,164.249975,151.649141,171.71838200000005
../Dataset/ReducedLP/scpnre1_reduced.lp,25.313798,168.58801,179.422608,170.349265
../Dataset/ReducedLP/scpnre1_reduced.lp,15.546692000000002,153.00970900000004,168.858404,170.453476
../Dataset/ReducedLP/scpnre1_reduced.lp,12.846271,166.508139,153.40131599999995,166.157828
../Dataset/ReducedLP/scpnre1_reduced.lp,12.625503,172.19163600000005,165.433171,152.454634
../Dataset/ReducedLP/scpnre1_reduced.lp,13.556913,166.919607,159.438315,162.788236
../Dataset/ReducedLP/scpnre2_reduced.lp,137.236992,2012.686678,3043.187866,1479.807972
../Dataset/ReducedLP/scpnre2_reduced.lp,236.663566,2444.54559,1946.435292,3212.386174
../Dataset/ReducedLP/scpnre2_reduced.lp,117.498866,2251.812188,2662.107659,3435.543845
../Dataset/ReducedLP/scpnre2_reduced.lp,184.243254,2580.64565,2414.587242,1020.431879
../Dataset/ReducedLP/scpnre2_reduced.lp,57.562387,2093.04685,1151.845013,671.087534
../Dataset/ReducedLP/scpnre2_reduced.lp,166.51833100000005,1737.951716,3100.772642000001,3089.712457
../Dataset/ReducedLP/scpnre2_reduced.lp,185.008111,1200.2579,1335.059809,3100.10022
../Dataset/ReducedLP/scpnre2_reduced.lp,165.86448700000003,3183.462545,1608.055605,1971.519115
../Dataset/ReducedLP/scpnre2_reduced.lp,96.396807,2795.855383,2220.4353,2839.803372
../Dataset/ReducedLP/scpnre2_reduced.lp,159.970849,2697.327579,2027.308421,3533.89794
../Dataset/ReducedLP/scpnre3_reduced.lp,6.936071000000001,78.724057,79.88725500000002,102.770175
../Dataset/ReducedLP/scpnre3_reduced.lp,17.10829,142.348571,327.097336,67.39267199999999
../Dataset/ReducedLP/scpnre3_reduced.lp,15.399603,57.13681800000001,239.579933,84.21350799999998
../Dataset/ReducedLP/scpnre3_reduced.lp,5.9451,310.3022200000001,360.054341,65.07800300000001
../Dataset/ReducedLP/scpnre3_reduced.lp,6.7816600000000005,318.2158950000001,335.307582,341.060014
../Dataset/ReducedLP/scpnre3_reduced.lp,13.037253,378.633607,91.355459,476.89791
../Dataset/ReducedLP/scpnre3_reduced.lp,22.868883,283.346472,56.735614,175.158505
../Dataset/ReducedLP/scpnre3_reduced.lp,6.7219570000000015,87.153973,57.057768,57.562094
../Dataset/ReducedLP/scpnre3_reduced.lp,7.489484,178.13105900000005,96.472214,343.259042
../Dataset/ReducedLP/scpnre3_reduced.lp,8.200189,365.587019,200.32486,322.709337
../Dataset/ReducedLP/scpnre4_reduced.lp,38.84329,793.915082,947.456435,514.61983
../Dataset/ReducedLP/scpnre4_reduced.lp,13.119596,444.935866,154.476339,399.187214
../Dataset/ReducedLP/scpnre4_reduced.lp,19.567059,575.7311129999998,831.306351,399.690254
../Dataset/ReducedLP/scpnre4_reduced.lp,12.467913,302.5502140000001,274.911032,472.202362
../Dataset/ReducedLP/scpnre4_reduced.lp,36.129569,508.45794400000005,521.669087,263.40549300000004
../Dataset/ReducedLP/scpnre4_reduced.lp,63.41135300000001,662.840093,344.829389,359.832677
../Dataset/ReducedLP/scpnre4_reduced.lp,33.054248,415.403773,365.557883,486.694671
../Dataset/ReducedLP/scpnre4_reduced.lp,19.52332,786.683157,183.893032,549.7479900000002
../Dataset/ReducedLP/scpnre4_reduced.lp,15.138562,160.246128,203.108756,399.812767
../Dataset/ReducedLP/scpnre4_reduced.lp,13.51836,463.806228,388.805124,372.761633
../Dataset/ReducedLP/scpnre5_reduced.lp,5.036258,43.481838,40.026245,40.505019
../Dataset/ReducedLP/scpnre5_reduced.lp,4.703101,36.391026,35.929974,57.865326
../Dataset/ReducedLP/scpnre5_reduced.lp,5.2389199999999985,35.069263,36.041297,42.344974
../Dataset/ReducedLP/scpnre5_reduced.lp,4.651795,35.670499,35.538354,35.845848
../Dataset/ReducedLP/scpnre5_reduced.lp,4.6438190000000015,38.675383,39.005973,37.729574
